entry_date,exit_date,expiry,short_ce_strike,short_pe_strike,long_ce_strike,long_pe_strike,short_ce_delta,short_pe_delta,short_ce_iv,short_pe_iv,short_ce_entry_price,short_pe_entry_price,short_ce_exit_price,short_pe_exit_price,gross_pnl_close,net_pnl_close,gross_pnl_high,net_pnl_high,total_costs,exit_reason,sl_high_hit
2019-01-28,2019-01-31,2019-01-31,10850.0,10500.0,11000.0,10350.0,0.1879270685060117,-0.1947936700433343,0.1985022584792335,0.21664223568400798,19.355249999999998,22.507250000000003,0.0,0.0,1456.2125,1450.99660953075,1456.2125,1450.99660953075,5.21589046925,EXPIRY,False
2019-02-11,2019-02-14,2019-02-14,11000.0,10750.0,11100.0,10700.0,0.22971728658339488,-0.13781863533203134,0.1221931479979011,0.15009422243196074,15.80925,10.293249999999999,0.0,0.0,894.0500000000001,890.784143584,-435.6624999999998,-441.5522574067498,3.265856416,EXPIRY,True
2019-02-18,2019-02-21,2019-02-21,10800.0,10450.0,10900.0,10300.0,0.2083321057144576,-0.1616825794586375,0.17274361803383173,0.22703017607593698,19.2075,18.6165,0.0,0.0,1132.4875,1127.59609432825,1132.4875,1127.59609432825,4.8914056717499985,EXPIRY,False
2019-02-25,2019-02-26,2019-02-28,11000.0,10750.0,11050.0,10600.0,0.18659419767921276,-0.18786609032727364,0.1270739106077249,0.15911389109244256,12.55875,16.055500000000002,6.140749999999999,37.91025,-324.12499999999955,-332.29493378649954,-38.14874999999961,-46.03980546702461,8.1699337865,SL_CLOSE,True
2019-03-05,2019-03-07,2019-03-07,11100.0,10850.0,11150.0,10700.0,0.19581408598009545,-0.15155116779137678,0.09553647415941846,0.22085829070918764,8.32325,14.0855,0.0,0.0,628.1625,625.22288127425,628.1625,625.22288127425,2.93961872575,EXPIRY,False
2019-03-11,2019-03-12,2019-03-14,11300.0,11050.0,11350.0,10900.0,0.14429106842082162,-0.18469982955277994,0.09007691559347471,0.16957282179587482,6.64875,17.2375,41.3105,5.9885,-353.75,-361.8629463675,411.30624999999986,403.93937118637484,8.112946367500001,SL_CLOSE,True
2019-03-18,2019-03-20,2019-03-20,11600.0,11350.0,11700.0,11250.0,0.19526108999869013,-0.17636154989886316,0.14290305252766514,0.18531876729806201,12.9035,14.8735,0.0,0.0,843.2875000000001,839.7067026182501,843.2875000000001,839.7067026182501,3.58079738175,EXPIRY,False
2019-03-25,2019-03-26,2019-03-28,11500.0,11200.0,11600.0,11100.0,0.1968399754924433,-0.15136127570988106,0.14589384927538063,0.16249279382830684,16.104750000000003,13.05125,52.881499999999996,3.3494999999999995,-1111.0249999999996,-1119.4626541924997,-252.33499999999992,-259.93527687829993,8.4376541925,SL_CLOSE,True
2019-04-01,2019-04-04,2019-04-04,11850.0,11550.0,11950.0,11400.0,0.2001251522235808,-0.17152478326225698,0.1122844668381587,0.2001259511590416,13.1005,19.45375,0.0,0.0,1135.4375,1131.38432133975,1135.4375,1131.38432133975,4.0531786602499995,EXPIRY,False
2019-04-08,2019-04-11,2019-04-11,11800.0,11500.0,11850.0,11400.0,0.14422752070879097,-0.16821093381201735,0.11026674921490232,0.1747073697729276,8.471,16.4495,0.0,0.0,758.825,755.6146431445001,-664.0925,-669.47115869315,3.2103568555,EXPIRY,True
