date,PCR
2026-04-01,1.0
2026-04-02,1.0128699962672347
2026-04-06,0.9661589250014782
2026-04-07,0.9506178771983892
2026-04-08,0.9288103095397717
2026-04-09,0.9788329458893759
2026-04-10,0.960299152184702
2026-04-13,0.9891786661905959
2026-04-15,1.0907707619501357
2026-04-16,1.1448367629810048
2026-04-17,1.1083923438395227
2026-04-20,1.080231214806138
2026-04-21,1.0949740763033864
2026-04-22,1.002043533322366
2026-04-23,0.9587349052396388
2026-04-24,0.987506957121862
2026-04-27,0.9825405916024015
2026-04-28,1.0810433468121785
2026-04-29,1.042016879381741
2026-04-30,0.9854732421328141
2026-05-04,0.9424450384865225
2026-05-05,0.9489025614977267
2026-05-06,0.9459708210396648
2026-05-07,1.0628917213772953
2026-05-08,1.0366467633132894
2026-05-11,1.035704315150189
2026-05-12,1.076342974394926
2026-05-13,1.0633096488882867
2026-05-14,1.084759033212049
2026-05-15,1.0960284616883529
2026-05-18,1.1282858666518825
2026-05-19,1.0450633714668653
2026-05-20,1.080949505001924
2026-05-21,1.0659403722696812
2026-05-22,1.0687052643094128
2026-05-25,1.0425018311028016
2026-05-26,1.1212040844821212
2026-05-27,1.0067302194792829
2026-05-29,1.0760230468466634
2026-06-01,1.0344703861018876
2026-06-02,1.1074726042214968
2026-06-03,1.1577861419620206
2026-06-04,1.1927569536049536
2026-06-05,1.2148877573619434
