date,PCR
2026-04-01,1.0
2026-04-02,1.0248357076505616
2026-04-06,1.0154389218269464
2026-04-07,1.0462794565492863
2026-04-08,1.117803003714759
2026-04-09,1.0943150346071164
2026-04-10,1.0731766832989456
2026-04-13,1.1448196557444206
2026-04-15,1.168709426627624
2026-04-16,1.1283647646681139
2026-04-17,1.1426562903806008
2026-04-20,1.1052197767019176
2026-04-21,1.071411311353213
2026-04-22,1.0763682937961936
2026-04-23,0.9730674521836843
2026-04-24,0.8895148153396641
2026-04-27,0.8724489573436491
2026-04-28,0.8345625055925631
2026-04-29,0.8668186216630704
2026-04-30,0.8347355557207028
2026-05-04,0.780646815081868
2026-05-05,0.8758645720197589
2026-05-06,0.8769892997934562
2026-05-07,0.8926667800485067
2026-05-08,0.8321626927329833
2026-05-11,0.8217272872334258
2026-05-12,0.8451006879955765
2026-05-13,0.8030409403249037
2026-05-14,0.8415217472096969
2026-05-15,0.8273376379927869
2026-05-18,0.8300191867038444
2026-05-19,0.8169319374219901
2026-05-20,0.927852652905238
2026-05-21,0.9343925263778174
2026-05-22,0.8880677272922407
2026-05-25,0.940388200168176
2026-05-26,0.8853071976528073
2026-05-27,0.9072196576377644
2026-05-29,0.8185141856799991
2026-06-01,0.7702534646670777
2026-06-02,0.803071179993826
2026-06-03,0.859687390994214
2026-06-04,0.8822870659542911
2026-06-05,0.88827594523945
