date,open,high,low,close,volume
2022-06-24,40330,40800,40111,40425,738
2022-06-27,40899,40959,40620,40732,8
2022-06-28,40959,41101,40691,40916,7
2022-06-29,40916,40916,40916,40916,0
2022-06-30,40913,41199,40866,40722,3
2022-07-04,41235,41630,41032,41537,3073
2022-07-05,41650,41658,41000,41025,3351
2022-07-06,41035,41150,40527,40585,3010
2022-07-07,40699,40746,40600,40629,1435
2022-07-08,40740,40845,40554,40726,1653
2022-07-11,40766,40778,40600,40672,945
2022-07-12,40643,40690,40555,40582,1419
2022-07-13,40571,40865,40432,40741,2316
2022-07-14,40685,40736,40242,40357,2395
2022-07-15,40351,40390,40205,40249,1179
2022-07-18,40350,40565,40350,40427,1568
2022-07-19,40352,40500,40301,40360,986
2022-07-20,40448,40448,40270,40368,839
2022-07-21,40344,40448,39900,40361,2259
2022-07-22,40361,40667,40266,40561,2603
2022-07-25,40561,40600,40252,40366,618
2022-07-26,41098,41098,40335,40937,29
2022-07-27,40968,41050,40968,41028,17
2022-07-28,41000,41462,40900,41121,3
2022-07-29,41500,41999,41200,41206,11
2022-08-01,41127,41305,40700,41098,3222
2022-08-02,41165,41201,41009,41036,1573
2022-08-03,40999,41186,40981,41025,1425
2022-08-04,41101,41515,41101,41492,2838
2022-08-05,41512,41520,41239,41336,1996
2022-08-08,41357,41624,41210,41574,1977
2022-08-09,41574,41845,41574,41713,1653
2022-08-10,41688,41785,41575,41643,1704
2022-08-11,41528,41718,41432,41652,1469
2022-08-12,41628,41816,41612,41780,1162
2022-08-16,41675,41697,41310,41331,1966
2022-08-17,41327,41417,41120,41162,1354
2022-08-18,41182,41534,41006,41168,1557
2022-08-19,41125,41250,41026,41077,1397
2022-08-22,41030,41042,40706,40825,1324
2022-08-23,40801,41165,40661,40918,2093
2022-08-24,40910,41100,40711,40868,489
2022-08-25,41897,41929,41055,41669,13
2022-08-26,41669,41680,41383,41512,7
2022-08-29,41230,41268,41230,41249,2
2022-08-30,41625,41625,41625,40953,1
2022-09-01,40440,40478,40200,40298,1844
2022-09-02,40344,40552,40261,40464,1917
2022-09-05,40412,40569,40412,40528,685
2022-09-06,40599,40659,40415,40433,1283
2022-09-07,40449,40551,40220,40541,1680
2022-09-08,40579,40642,40380,40455,1285
2022-09-09,40555,40648,40499,40544,1707
2022-09-12,40499,40750,40450,40663,1924
2022-09-13,40621,40644,40321,40392,1995
2022-09-14,40312,40419,40290,40340,1083
2022-09-15,40300,40300,39753,39822,3378
2022-09-16,39849,39849,39348,39707,2910
2022-09-19,39636,39698,39503,39650,973
2022-09-20,39653,39730,39550,39615,888
2022-09-21,39640,39768,39522,39714,1238
2022-09-22,39605,40150,39602,40036,2254
2022-09-23,40012,40093,39212,39585,2824
2022-09-26,39435,39750,38572,39015,1232
2022-09-27,39200,39554,39150,39220,13
2022-09-28,39559,39559,39559,39559,1
2022-09-29,39559,39559,39559,39559,0
2022-09-30,39639,39639,39639,40220,1
2022-10-03,40016,40518,40016,40499,3042
2022-10-04,40450,40929,40425,40828,3400
2022-10-05,40655,40739,40561,40698,1582
2022-10-06,40756,41338,40756,41128,5367
2022-10-07,41143,41239,40851,41084,2684
2022-10-10,41001,41001,40550,40569,2581
2022-10-11,40578,40682,40350,40625,2089
2022-10-12,40505,40610,40400,40481,1108
2022-10-13,40510,40667,40121,40454,2580
2022-10-14,40466,40509,40021,40046,1794
2022-10-17,40130,40364,40083,40243,1344
2022-10-18,40201,40299,40156,40206,814
2022-10-19,40223,40223,39946,40107,1197
2022-10-20,40091,40222,40008,40086,1363
2022-10-21,40080,40164,39811,40110,3477
2022-10-24,40151,40199,40063,40129,116
2022-10-25,40074,40172,39812,39971,996
2022-10-26,40126,40126,40001,40054,13
2022-10-27,40110,40200,40102,40129,5
2022-10-28,40025,40025,40000,40006,4
2022-10-31,40300,40300,39906,40311,5
2022-11-02,40359,40540,40355,40435,1972
2022-11-03,40371,40371,40055,40182,2639
2022-11-04,40239,40498,40225,40468,2940
2022-11-07,40449,40629,40425,40516,2202
2022-11-08,40501,40949,40366,40899,3381
2022-11-09,40899,40966,40800,40855,2405
2022-11-10,40860,41167,40834,41124,1993
2022-11-11,41143,41602,41100,41573,4231
2022-11-14,41575,41840,41575,41784,1369
2022-11-15,41655,42038,41651,41792,2086
2022-11-16,41875,42400,41781,42291,3401
2022-11-17,42175,42460,42112,42350,2237
2022-11-18,42398,42500,42330,42422,913
2022-11-21,42422,42586,42222,42297,1413
2022-11-22,42499,42499,42152,42330,670
2022-11-23,42423,42600,42255,42590,2002
2022-11-24,42412,42950,42412,42830,570
2022-11-25,42890,43108,42100,42102,334
2022-11-28,43200,43200,42149,42169,49
2022-11-29,42091,42092,42080,42091,27
2022-11-30,42100,43000,42100,42228,20
2022-12-02,42855,43099,42855,43044,2039
2022-12-05,43101,43360,42821,42876,2234
2022-12-06,42995,43150,42901,43043,1120
2022-12-07,43024,43217,42965,43197,1319
2022-12-08,43112,43346,43106,43279,1386
2022-12-09,43299,43488,43299,43457,1305
2022-12-12,43420,43519,43320,43403,843
2022-12-13,43488,43946,43436,43845,2095
2022-12-14,43774,43986,43774,43891,1119
2022-12-15,43800,43891,43405,43490,2975
2022-12-16,43534,43560,43414,43553,1014
2022-12-19,43628,43642,43526,43535,549
2022-12-20,43566,43979,43566,43965,904
2022-12-21,43941,44239,43941,44194,811
2022-12-22,44190,44265,43658,43742,1690
2022-12-23,43838,43900,43625,43767,1966
2022-12-26,43710,44711,43620,43880,323
2022-12-27,44148,44250,43910,44141,127
2022-12-28,44099,44099,43960,44098,69
2022-12-29,43920,44649,43920,44148,123
2022-12-30,44100,44150,43311,43820,244
2023-01-02,43752,43798,43699,43747,659
2023-01-03,43850,44200,43850,44008,2370
2023-01-04,44085,44500,44085,44334,2430
2023-01-05,44325,44425,44091,44183,2305
2023-01-06,44240,44440,44190,44416,1443
2023-01-09,44511,44808,44511,44644,1615
2023-01-10,44621,44698,44510,44538,1088
2023-01-11,44550,44667,44460,44503,1015
2023-01-12,44584,44676,44502,44615,781
2023-01-13,44655,44818,44611,44804,1243
2023-01-16,44929,44990,44803,44886,913
2023-01-17,44840,44895,44687,44851,883
2023-01-18,44751,45087,44735,44926,1475
2023-01-19,44978,45256,44854,45209,1560
2023-01-20,45341,45450,45301,45339,703
2023-01-23,45339,46600,45339,45849,1946
2023-01-24,45849,46335,45849,46270,463
2023-01-25,47600,47600,45400,45800,336
2023-01-27,47170,47170,46189,46350,61
2023-01-30,46730,46730,46200,46223,19
2023-01-31,46323,46600,44837,45558,126
2023-02-02,46022,46797,45962,46029,3738
2023-02-03,46149,46270,45430,45500,2587
2023-02-06,45622,45847,45580,45684,1208
2023-02-07,45734,45925,45700,45885,1472
2023-02-08,45944,45980,45828,45914,857
2023-02-09,45998,45998,45751,45785,1245
2023-02-10,46101,46101,45532,45683,1077
2023-02-13,45789,45849,45201,45221,2946
2023-02-14,45385,45385,45066,45129,2013
2023-02-16,44929,44929,44620,44822,966
2023-02-17,44821,44822,44501,44801,770
2023-02-20,44848,44965,44725,44843,813
2023-02-21,44800,44810,44440,44493,1676
2023-02-22,44366,44757,43901,44175,677
2023-02-23,44598,44599,44088,44096,97
2023-02-24,44548,44572,44230,44343,14
2023-02-27,44230,44498,44230,44343,26
2023-02-28,44375,44375,44375,44434,1
2023-03-02,44510,44550,44435,44481,641
2023-03-03,44541,44588,44405,44483,556
2023-03-06,44580,44695,44511,44572,684
2023-03-07,44599,44650,44026,44078,980
2023-03-08,44074,44087,43905,43942,618
2023-03-09,43943,44230,43812,44161,902
2023-03-10,44145,44738,44102,44650,1502
2023-03-13,44700,45550,44700,45503,2097
2023-03-14,45460,45749,45310,45453,1653
2023-03-15,45453,46044,45222,45886,1997
2023-03-16,45715,46043,45551,45693,1423
2023-03-17,45786,46554,45786,46470,1575
2023-03-20,46599,47430,46388,46794,3017
2023-03-21,46801,47256,46300,46513,1763
2023-03-22,46555,46786,46355,46656,989
2023-03-23,46955,47136,46747,47074,753
2023-03-24,47040,47550,46811,46937,1361
2023-03-27,46999,47906,46540,46725,233
2023-03-28,46999,47416,46700,47175,41
2023-03-29,47248,47576,47025,47293,11
2023-03-30,47549,47999,47549,47755,5
2023-03-31,47558,48062,47558,47840,53
2023-04-04,47697,48225,47419,48191,2345
2023-04-05,48151,48488,48101,48210,2424
2023-04-06,48179,48330,47923,48074,1754
2023-04-10,47899,48251,47773,47817,1642
2023-04-11,47880,48149,47862,48101,1144
2023-04-12,48760,48760,48155,48283,1708
2023-04-13,48380,48695,48253,48564,1931
2023-04-14,48500,48696,47926,48030,2193
2023-04-17,48092,48395,47761,47931,1574
2023-04-18,47988,48235,47936,48213,1028
2023-04-19,48380,48380,47769,48047,1422
2023-04-20,48002,48243,47981,48209,699
2023-04-21,48010,48269,47757,48053,1732
2023-04-24,47991,48299,47800,47886,430
2023-04-25,48440,48455,47949,48184,119
2023-04-26,48582,48582,48201,48412,40
2023-04-27,48797,48798,48001,48058,65
2023-04-28,49399,49499,48500,48110,146
2023-05-02,48000,48490,47961,48441,2360
2023-05-03,48446,48724,48362,48687,2217
2023-05-04,48820,49347,48801,49159,2619
2023-05-05,49300,49300,48426,48629,2848
2023-05-08,48710,48888,48622,48825,1524
2023-05-09,48860,49135,48826,49106,1402
2023-05-10,49135,49249,48907,49001,1511
2023-05-11,48981,49133,48815,48865,1679
2023-05-12,48800,48880,48581,48826,1477
2023-05-15,48751,48994,48751,48917,765
2023-05-16,48987,48987,48450,48493,2021
2023-05-17,48572,48593,48325,48380,1185
2023-05-18,48400,48400,48052,48111,906
2023-05-19,48195,48520,48110,48480,1146
2023-05-22,48599,48600,48395,48466,674
2023-05-23,48400,48475,48200,48449,786
2023-05-24,48406,48559,48013,48082,742
2023-05-25,48162,48540,47696,47847,315
2023-05-26,48230,48999,48205,48509,40
2023-05-29,48997,48998,48250,48484,20
2023-05-30,48499,48499,48449,48479,13
2023-05-31,49498,49499,49498,48300,22
2023-06-01,48305,48412,48070,48340,1449
2023-06-02,48385,48455,48019,48044,1393
2023-06-05,47560,48150,47560,48097,1278
2023-06-06,48097,48250,48068,48182,949
2023-06-07,48229,48248,47930,47992,1656
2023-06-08,47850,48270,47850,48208,1307
2023-06-09,48208,48270,48110,48186,824
2023-06-12,48160,48223,47983,48053,933
2023-06-13,48075,48193,47880,47914,1011
2023-06-14,47875,48049,47850,47922,696
2023-06-15,47850,47905,47632,47881,1373
2023-06-16,47915,48000,47815,47881,714
2023-06-19,47850,47945,47780,47828,676
2023-06-20,47799,47919,47630,47694,851
2023-06-21,47700,47745,47620,47725,669
2023-06-22,47672,47774,47582,47705,849
2023-06-23,47630,47890,47209,47284,1155
2023-06-26,47309,47600,46711,46916,438
2023-06-27,46999,47399,46906,47099,10
2023-06-28,47293,47293,47293,47293,1
2023-06-29,47298,47298,46801,47074,4
2023-06-30,46999,46999,46999,46434,3
2023-07-03,47249,47387,47150,47315,849
2023-07-04,47300,47410,47300,47350,555
2023-07-05,47332,47529,47330,47416,898
2023-07-06,47362,47490,47222,47369,1032
2023-07-07,47323,47600,47323,47585,1316
2023-07-10,47525,47579,47400,47524,817
2023-07-11,47526,47651,47500,47592,884
2023-07-12,47680,47890,47568,47846,1328
2023-07-13,47865,47961,47812,47913,1217
2023-07-14,47921,47950,47870,47940,593
2023-07-17,47867,47950,47832,47867,728
2023-07-18,47897,48286,47881,48229,1077
2023-07-19,48182,48325,48182,48261,672
2023-07-20,48358,48370,48005,48030,743
2023-07-21,48080,48080,47888,47899,388
2023-07-24,47888,47888,47532,47555,870
2023-07-25,47635,47672,47401,47572,533
2023-07-26,47553,48137,47553,47993,35
2023-07-27,48298,48298,47889,48077,18
2023-07-28,48298,48298,47774,47900,38
2023-07-31,48294,48294,47888,47617,15
2023-08-01,48212,48265,47902,47990,1119
2023-08-02,48085,48188,47962,48020,975
2023-08-03,48000,48100,47699,48009,897
2023-08-04,47996,48123,47940,48048,719
2023-08-07,48065,48065,47925,47967,511
2023-08-08,47967,48000,47882,47943,315
2023-08-09,48014,48015,47756,47788,807
2023-08-10,47782,47870,47688,47766,514
2023-08-11,47775,47867,47721,47774,393
2023-08-14,47799,47839,47731,47790,256
2023-08-16,47695,47827,47678,47732,296
2023-08-17,47700,47700,47400,47452,1405
2023-08-18,47490,47582,47461,47484,317
2023-08-21,47484,47512,47001,47195,1711
2023-08-22,47156,47249,47012,47220,493
2023-08-23,47202,47373,47195,47342,439
2023-08-24,47388,47388,47132,47245,1465
2023-08-25,47155,47501,46963,47382,746
2023-08-28,47570,47570,47570,47570,1
2023-08-29,47500,47763,47500,47510,52
2023-08-30,47900,47900,47900,47900,28
2023-08-31,48099,48099,47850,47600,12
2023-09-01,47849,48120,47775,47883,1286
2023-09-04,47870,48025,47870,47992,796
2023-09-05,47950,48060,47933,47987,774
2023-09-06,47956,48033,47925,47940,684
2023-09-07,47920,47949,47842,47883,379
2023-09-08,47908,48050,47880,47908,479
2023-09-11,47950,47998,47867,47956,347
2023-09-12,47969,47986,47715,47818,535
2023-09-13,47792,47795,47635,47663,568
