date,f,atm_strike,atm_iv,ivp_252
2019-01-01,10960.55,10950.0,0.14220966614797725,
2019-01-02,10830.85,10850.0,0.15259572061528257,
2019-01-03,10718.5,10700.0,0.15847655432496177,
2019-01-04,10777.6,10800.0,0.14904068958151412,
2019-01-07,10803.45,10800.0,0.15151025700548354,
2019-01-08,10844.65,10850.0,0.144074917137391,
2019-01-09,10877.7,10900.0,0.13754168604254913,
2019-01-10,10857.75,10850.0,0.14155607914994045,
2019-01-11,10827.6,10850.0,0.13984956234747542,
2019-01-14,10769.8,10750.0,0.15142955418942994,
2019-01-15,10928.4,10950.0,0.13849775899402816,
2019-01-16,10921.65,10900.0,0.1428720838550006,
2019-01-17,10925.85,10950.0,0.1356398176340432,
2019-01-18,10927.15,10950.0,0.13326758256710036,
2019-01-21,10969.7,10950.0,0.1534760208022105,
2019-01-22,10936.2,10950.0,0.15196178910062197,
2019-01-23,10854.9,10850.0,0.15972653384315166,
2019-01-24,10868.6,10850.0,0.14332663209930904,
2019-01-25,10785.95,10800.0,0.15025849879960287,
2019-01-28,10676.8,10700.0,0.19875818602452291,
2019-01-29,10668.05,10650.0,0.18321863511902253,
2019-01-30,10642.9,10650.0,0.16642268358964218,
2019-01-31,10830.95,10850.0,0.16642268358964218,
2019-02-01,10914.05,10900.0,0.14312398965125006,
2019-02-04,10937.5,10950.0,0.14025921302915062,
2019-02-05,10951.7,10950.0,0.1419233934539148,
2019-02-06,11090.3,11100.0,0.13657173396267716,
2019-02-07,11093.8,11100.0,0.13255719738400498,
2019-02-08,10957.25,10950.0,0.1327171383010787,
2019-02-11,10909.6,10900.0,0.1383569277561667,
2019-02-12,10860.45,10850.0,0.14850965819916342,
2019-02-13,10823.4,10800.0,0.13662343151205447,
2019-02-14,10779.8,10800.0,0.13662343151205447,
2019-02-15,10746.55,10750.0,0.13704698232365803,
2019-02-18,10662.25,10650.0,0.18615730744460723,
2019-02-19,10617.15,10600.0,0.1758435769489985,
2019-02-20,10751.85,10750.0,0.14096756701202715,
2019-02-21,10804.45,10800.0,0.14096756701202715,
2019-02-22,10808.8,10800.0,0.12306055706584772,
2019-02-25,10887.05,10900.0,0.1314606842907287,
2019-02-26,10827.8,10850.0,0.17676315518354374,
2019-02-27,10809.45,10800.0,0.23902227467246256,
2019-02-28,10792.5,10800.0,0.23902227467246256,
2019-03-01,10917.05,10900.0,0.12449263286610729,
2019-03-05,11032.7,11050.0,0.1449648674049991,
2019-03-06,11086.8,11100.0,0.15089160905440654,
2019-03-07,11098.2,11100.0,0.15089160905440654,
2019-03-08,11076.05,11100.0,0.11684821392894199,
2019-03-11,11202.15,11200.0,0.12105758688995902,
2019-03-12,11336.85,11350.0,0.13054418295043413,
2019-03-13,11366.65,11350.0,0.11176641921790341,
2019-03-14,11381.75,11400.0,0.11176641921790341,
2019-03-15,11470.45,11450.0,0.11955500230409646,
2019-03-18,11494.5,11500.0,0.15019423587931144,
2019-03-19,11570.75,11550.0,0.10888520215699739,
2019-03-20,11553.2,11550.0,0.10888520215699739,
2019-03-22,11472.4,11450.0,0.11778300509514428,
2019-03-25,11370.05,11350.0,0.13921181706186694,
2019-03-26,11510.7,11500.0,0.13610751839821805,
2019-03-27,11458.1,11450.0,0.1326014166764041,
2019-03-28,11570.0,11550.0,0.1326014166764041,
2019-03-29,11679.9,11700.0,0.15419699038033696,
2019-04-01,11748.4,11750.0,0.15197595589703933,
2019-04-02,11779.5,11800.0,0.17325707026960624,
2019-04-03,11729.65,11750.0,0.18698021173451582,
2019-04-04,11679.55,11700.0,0.18698021173451582,
2019-04-05,11760.75,11750.0,0.10765532808894133,
2019-04-08,11674.9,11650.0,0.1331774614308119,
2019-04-09,11742.3,11750.0,0.14410028349709256,
2019-04-10,11652.9,11650.0,0.1474558452897258,
2019-04-11,11668.9,11650.0,0.1474558452897258,
2019-04-12,11703.85,11700.0,0.09864289881643201,
2019-04-15,11727.75,11750.0,0.1020069288905345,
2019-04-16,11824.45,11800.0,0.07019350294350267,
2019-04-18,11771.1,11750.0,0.07019350294350267,
2019-04-22,11618.9,11600.0,0.1348076014929449,
2019-04-23,11586.4,11600.0,0.13155889694989936,
2019-04-24,11738.25,11750.0,0.10936909454047135,
2019-04-25,11641.8,11650.0,0.10936909454047135,
2019-04-26,11813.5,11800.0,0.08503178458290019,
2019-04-30,11791.55,11800.0,0.11502545011306944,
2019-05-02,11765.4,11750.0,0.11502545011306944,
2019-05-03,11764.3,11750.0,0.09911092019129139,
2019-05-06,11656.35,11650.0,0.14146619831882593,
2019-05-07,11541.9,11550.0,0.15812190735337137,
2019-05-08,11418.6,11400.0,0.1623266671409358,
2019-05-09,11334.8,11350.0,0.1623266671409358,
2019-05-10,11307.2,11300.0,0.16722973932871998,
2019-05-13,11181.55,11200.0,0.20100916778276745,
2019-05-14,11241.65,11250.0,0.18851730505583214,
2019-05-15,11177.45,11200.0,0.18247425439557613,
2019-05-16,11285.25,11300.0,0.18247425439557613,
2019-05-17,11425.8,11450.0,0.4106823615708959,
2019-05-20,11859.45,11850.0,0.47518197309435034,
2019-05-21,11715.15,11700.0,0.5769408656412536,
2019-05-22,11781.65,11800.0,0.7958100102952333,
2019-05-23,11692.4,11700.0,0.7958100102952333,
2019-05-24,11869.4,11850.0,0.13969059690120245,
2019-05-27,11918.5,11900.0,0.1617509522739488,
2019-05-28,11940.75,11950.0,0.1630071187125287,
2019-05-29,11862.25,11850.0,0.14643130380266584,
2019-05-30,11945.9,11950.0,0.14643130380266584,
2019-05-31,11916.5,11900.0,0.12611377231493645,
2019-06-03,12104.45,12100.0,0.13834493587966967,
2019-06-04,12056.15,12050.0,0.11486430392560032,
2019-06-06,11884.05,11900.0,0.11486430392560032,
2019-06-07,11900.75,11900.0,0.11273828253853682,
2019-06-10,11933.8,11950.0,0.12725770481381207,
2019-06-11,11976.95,12000.0,0.12486986523798335,
2019-06-12,11916.7,11900.0,0.1189397660034168,
2019-06-13,11928.3,11950.0,0.1189397660034168,
2019-06-14,11838.05,11850.0,0.10595979695370666,
2019-06-17,11697.55,11700.0,0.13671723033667046,
2019-06-18,11700.5,11700.0,0.14019948543819916,
2019-06-19,11708.6,11700.0,0.15699933554262557,
2019-06-20,11849.45,11850.0,0.15699933554262557,
2019-06-21,11753.45,11750.0,0.1247617225540305,
2019-06-24,11717.15,11700.0,0.15307499780638195,
2019-06-25,11810.3,11800.0,0.14068497953676956,
2019-06-26,11864.4,11850.0,0.14027744075674847,
2019-06-27,11841.55,11850.0,0.14027744075674847,
2019-06-28,11841.5,11850.0,0.12577100220707035,
2019-07-01,11903.65,11900.0,0.13651022997632406,
2019-07-02,11942.35,11950.0,0.12380246748602239,
2019-07-03,11949.2,11950.0,0.12585331983283726,
2019-07-04,11979.65,12000.0,0.12585331983283726,25.793650793650798
2019-07-05,11820.95,11800.0,0.11382761516267413,12.598425196850393
2019-07-08,11566.3,11550.0,0.14028562494386293,51.5625
2019-07-09,11552.6,11550.0,0.13559664784256842,36.434108527131784
